output_gap: ODA-CAN_NGAP_NPGDP
Source: https://data.nasdaq.com/data/ODA/CAN_NGAP_NPGDP-canada-output-gap-of-potential-gdp,,,,,
Date,GAP_P,GDP_R,GDP_P,K,L
1980,1.102,"230,418.824",227907.286,32.334,55.720
1981,2.144,"258,996.634",253560.301,34.362,57.254
1982,-3.538,"266,695.754",276477.529,35.001,54.139
1983,-3.569,"290,796.375",301559.016,35.730,54.269
1984,-0.846,"320,438.722",323172.764,36.766,56.465
1985,0.527,"347,785.369",345962.148,38.256,58.796
1986,-0.532,"362,537.541",364476.556,39.495,61.454
1987,0.606,"396,357.379",393969.921,41.321,64.350
1988,2.5,"435,194.022",424579.533658537,43.753,67.146
1989,2.899,"462,216.237",449194.100,46.135,68.982
1990,1.258,"472,034.851",466170.427,47.519,69.054
1991,-1.507,"464,264.682",471368.201,48.617,66.889
1992,-2.401,"468,528.025",480054.125,49.435,66.227
1993,-2.074,"487,398.870",497721.616,50.133,67.750
1994,-0.421,"525,291.813",527512.641,51.689,70.602
1995,-0.806,"557,148.750",561675.857,53.264,72.783
1996,-2.325,"581,648.058",595493.277,55.154,74.999
1997,-1.497,"619,794.797",629214.133,58.193,77.363
1998,-1.251,"646,125.462",654310.891,61.798,79.538
1999,0.154,"702,980.886",701899.960,65.385,81.975
2000,1.524,"782,184.681",770443.128,68.848,84.385
2001,-0.306,"807,194.291",809671.887,70.799,84.893
2002,-0.35,"831,406.824",834326.968389363,72.000,86.338
2003,-0.902,"877,373.437",885359.379,74.098,88.200
2004,-0.097,"940,493.924",941407.089,77.283,90.893
2005,0.853,"1,006,063.585",997554.446,81.628,92.176
2006,1.298,"1,062,369.809",1048756.944,86.518,93.551
2007,1.525,"1,120,060.714",1103236.360,90.424,95.549
2008,0.748,"1,177,368.072",1168626.744,93.907,96.580
2009,-3.55,"1,069,115.053",1108465.58113012,93.567,92.740
2010,-1.748,"1,144,636.090",1165000.295,94.759,95.556
2011,-0.473,"1,227,991.504",1233827.508,97.274,97.509
2012,-1.178,"1,259,922.908",1274941.721,100.000,100.000
2013,-1.298,"1,311,800.006",1329051.089,103.316,101.104
2014,-0.823,"1,386,414.356",1397919.231,106.881,101.456
2015,-2.052,"1,358,845.037",1387312.693,108.706,102.762
2016,-2.399,"1,372,609.535",1406347.819,109.415,103.241
2017,-0.799,"1,460,246.754",1472008.099,111.434,105.387
2018,-0.525,"1,528,366.718",1536432.991,114.672,108.244
2019,-0.37,"1,581,340.150",1587212.83749875,118.264,110.240

L_K_Y: 3610020801-eng
"Multifactor productivity, value-added, capital input and labour input in the aggregate business sector and major sub-sectors, by industry 1",,,,,
Frequency: Annual,,,,,
Table: 36-10-0208-01 (formerly CANSIM 383-0021),,,,,
Release date: 2023-04-18,,,,,
Geography: Canada,,,,,
,,,,,
,,,,,
,,,,,
Geography,Canada,,,,
Multifactor productivity and related variables,Labour productivity 2,Capital productivity 3,Labour input 4,Capital input 5,Gross domestic product (GDP) 6
North American Industry Classification System (NAICS),Business sector 1,Business sector 1,Business sector 1,Business sector 1,"Business sector 1  (x 1,000,000)"
Reference period,,,,,
,"Index, 2012=100",,,,Dollars
1961,37.581,151.128,32.356,11.375,"30,699.906"
1962,39.327,156.601,33.803,11.821,"33,135.192"
1963,41.081,159.107,34.713,12.308,"35,575.159"
1964,42.773,161.599,36.291,13.001,"38,864.966"
1965,44.589,161.784,37.961,13.888,"42,921.899"
1966,45.682,159.515,39.916,15.037,"47,881.738"
1967,46.118,151.410,40.717,16.182,"50,617.004"
1968,48.974,153.242,40.942,16.894,"55,012.704"
1969,50.567,153.371,41.935,17.743,"59,925.308"
1970,52.345,150.833,42.052,18.575,"63,876.205"
1971,53.615,150.282,42.961,19.368,"69,493.957"
1972,55.740,151.397,44.331,20.378,"77,422.676"
1973,57.124,152.412,46.931,21.736,"92,225.299"
1974,57.291,147.279,48.574,23.258,"110,395.618"
1975,58.328,141.394,48.469,24.541,"125,568.224"
1976,62.466,140.616,48.433,26.323,"142,923.757"
1977,64.868,140.313,48.958,27.516,"157,098.788"
1978,65.299,141.040,51.037,28.610,"174,949.937"
1979,64.569,138.995,53.947,30.275,"203,009.266"
1980,64.582,133.333,55.720,32.334,"230,418.824"
1981,65.867,131.048,57.254,34.362,"258,996.634"
1982,67.526,123.642,54.139,35.001,"266,695.754"
1983,69.749,124.612,54.269,35.730,"290,796.375"
1984,72.010,129.454,56.465,36.766,"320,438.722"
